id,nombre,edad,genero,ciudad,region,nse,ocupacion,ingresos,educacion,estado_civil,hijos,created_at
109,Patricia López,26,F,Callao,Lima,C,Técnico,"S/ 2,000 - S/ 4,000",Superior incompleta,Soltero,0,2025-07-10T13:06:50.205967
103,José Flores,33,M,Callao,Lima,C,Empleado,"S/ 2,000 - S/ 4,000",Superior incompleta,Soltero,1,2025-07-10T13:06:50.205300
213,Sandra Torres,20,F,Chiclayo,Costa,D,Estudiante/Trabajador Joven,"S/ 1,000 - S/ 2,000",Estudiando,Soltero,0,2025-07-10T13:06:50.258694
19,Jorge Torres,46,M,Cusco,Sierra,B,Comerciante,"S/ 4,000 - S/ 10,000",Superior completa,Casado,1,2025-07-10T13:06:50.186443
188,Carmen Torres,62,F,Iquitos,Selva,C,Empleado,"S/ 2,000 - S/ 4,000",Superior incompleta,Casado,1,2025-07-10T13:06:50.254509
21,Ricardo Martínez,62,M,Arequipa,Sierra,B,Comerciante,"S/ 4,000 - S/ 10,000",Técnica completa,Casado,1,2025-07-10T13:06:50.187117
191,Elena Sánchez,65,F,Puerto Maldonado,Selva,C,Comerciante,"S/ 2,000 - S/ 4,000",Secundaria completa,Divorciado,2,2025-07-10T13:06:50.254903
205,Jorge Flores,48,M,Lima,Lima,D,Comerciante Menor,"S/ 1,000 - S/ 2,000",Técnica incompleta,Soltero,3,2025-07-10T13:06:50.257625
11,Mónica Pérez,80,F,Callao,Lima,B,Jubilado,"S/ 4,000 - S/ 10,000",Superior completa,Casado,2,2025-07-10T13:06:50.182591
62,Mónica Flores,27,F,Callao,Lima,C,Comerciante,"S/ 2,000 - S/ 4,000",Secundaria completa,Conviviente,1,2025-07-10T13:06:50.198868
183,Carlos Rodríguez,46,M,Puerto Maldonado,Selva,C,Técnico,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,1,2025-07-10T13:06:50.252969
49,Miguel García,27,M,Lima,Lima,C,Técnico,"S/ 2,000 - S/ 4,000",Técnica completa,Soltero,1,2025-07-10T13:06:50.196842
286,Rosa Rodríguez,75,F,Ayacucho,Sierra,E,Jubilado,"Menos de S/ 1,000",Sin educación formal,Casado,0,2025-07-10T13:06:50.266471
131,Manuel Sánchez,23,M,Piura,Costa,C,Estudiante/Trabajador Joven,"S/ 2,000 - S/ 4,000",Estudiando,Soltero,1,2025-07-10T13:06:50.209056
107,Rosa González,31,F,Callao,Lima,C,Obrero Calificado,"S/ 2,000 - S/ 4,000",Técnica completa,Casado,1,2025-07-10T13:06:50.205751
178,Sandra Flores,39,F,Pucallpa,Selva,C,Empleado,"S/ 2,000 - S/ 4,000",Técnica completa,Casado,1,2025-07-10T13:06:50.250752
256,Teresa Torres,21,F,Callao,Lima,E,Estudiante/Trabajador Joven,"Menos de S/ 1,000",Estudiando,Soltero,0,2025-07-10T13:06:50.262737
284,Sandra García,59,F,Cusco,Sierra,E,Desempleado,"Menos de S/ 1,000",Sin educación formal,Divorciado,3,2025-07-10T13:06:50.265998
176,Lucía Torres,25,F,Tarapoto,Selva,C,Obrero Calificado,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,2,2025-07-10T13:06:50.250423
119,Miguel Pérez,48,M,Callao,Lima,C,Técnico,"S/ 2,000 - S/ 4,000",Técnica completa,Soltero,0,2025-07-10T13:06:50.207304
15,Pedro García,33,M,Huancayo,Sierra,B,Comerciante,"S/ 4,000 - S/ 10,000",Superior completa,Casado,0,2025-07-10T13:06:50.185292
40,Lucía Martínez,31,F,Callao,Lima,C,Comerciante,"S/ 2,000 - S/ 4,000",Superior incompleta,Casado,0,2025-07-10T13:06:50.193675
251,Rosa Martínez,64,F,Pucallpa,Selva,D,Trabajador Independiente,"S/ 1,000 - S/ 2,000",Técnica incompleta,Viudo,4,2025-07-10T13:06:50.262302
259,Roberto González,30,M,Callao,Lima,E,Desempleado,"Menos de S/ 1,000",Sin educación formal,Soltero,1,2025-07-10T13:06:50.263218
254,Carmen González,73,F,Iquitos,Selva,D,Jubilado,"S/ 1,000 - S/ 2,000",Técnica incompleta,Casado,2,2025-07-10T13:06:50.262588
51,Roberto González,30,M,Callao,Lima,C,Comerciante,"S/ 2,000 - S/ 4,000",Superior incompleta,Casado,0,2025-07-10T13:06:50.197053
17,Carlos Rodríguez,41,M,Cajamarca,Sierra,B,Profesional,"S/ 4,000 - S/ 10,000",Técnica completa,Casado,1,2025-07-10T13:06:50.185762
57,Carlos Flores,31,M,Lima,Lima,C,Técnico,"S/ 2,000 - S/ 4,000",Secundaria completa,Soltero,0,2025-07-10T13:06:50.198223
30,Luis García,51,M,Puerto Maldonado,Selva,B,Comerciante,"S/ 4,000 - S/ 10,000",Técnica completa,Casado,1,2025-07-10T13:06:50.191149
98,Rosa González,25,F,Lima,Lima,C,Empleado,"S/ 2,000 - S/ 4,000",Secundaria completa,Soltero,0,2025-07-10T13:06:50.204791
32,Ricardo García,70,M,Pucallpa,Selva,B,Jubilado,"S/ 4,000 - S/ 10,000",Técnica completa,Casado,2,2025-07-10T13:06:50.191604
23,Ricardo Pérez,80,M,Arequipa,Sierra,B,Jubilado,"S/ 4,000 - S/ 10,000",Superior incompleta,Casado,1,2025-07-10T13:06:50.187519
276,Mónica Pérez,33,F,Cajamarca,Sierra,E,Trabajador Eventual,"Menos de S/ 1,000",Sin educación formal,Casado,1,2025-07-10T13:06:50.265108
199,Lucía González,39,F,Callao,Lima,D,Trabajador Independiente,"S/ 1,000 - S/ 2,000",Secundaria completa,Soltero,2,2025-07-10T13:06:50.256976
1,Teresa Torres,24,F,Lima,Lima,B,Estudiante/Trabajador Joven,"S/ 4,000 - S/ 10,000",Estudiando,Soltero,1,2025-07-10T13:06:50.177994
280,Miguel Sánchez,37,M,Ayacucho,Sierra,E,Trabajo Doméstico,"Menos de S/ 1,000",Sin educación formal,Soltero,3,2025-07-10T13:06:50.265427
274,Patricia Ramírez,19,F,Arequipa,Sierra,E,Estudiante/Trabajador Joven,"Menos de S/ 1,000",Estudiando,Soltero,1,2025-07-10T13:06:50.264946
4,Sandra Flores,31,F,Callao,Lima,B,Empleado Calificado,"S/ 4,000 - S/ 10,000",Superior incompleta,Casado,0,2025-07-10T13:06:50.178783
210,Teresa Pérez,66,F,Lima,Lima,D,Jubilado,"S/ 1,000 - S/ 2,000",Técnica incompleta,Divorciado,3,2025-07-10T13:06:50.258270
236,Teresa Pérez,60,F,Ayacucho,Sierra,D,Obrero,"S/ 1,000 - S/ 2,000",Secundaria incompleta,Casado,0,2025-07-10T13:06:50.260938
76,Pedro Rodríguez,28,M,Callao,Lima,C,Empleado,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,1,2025-07-10T13:06:50.202403
214,Luis López,25,M,Chiclayo,Costa,D,Comerciante Menor,"S/ 1,000 - S/ 2,000",Técnica incompleta,Conviviente,1,2025-07-10T13:06:50.258816
202,Patricia García,39,F,Lima,Lima,D,Trabajador Independiente,"S/ 1,000 - S/ 2,000",Secundaria completa,Casado,0,2025-07-10T13:06:50.257347
13,Patricia López,23,F,Arequipa,Sierra,B,Estudiante/Trabajador Joven,"S/ 4,000 - S/ 10,000",Estudiando,Conviviente,0,2025-07-10T13:06:50.184228
142,Ricardo García,22,M,Ayacucho,Sierra,C,Estudiante/Trabajador Joven,"S/ 2,000 - S/ 4,000",Estudiando,Soltero,0,2025-07-10T13:06:50.211494
26,Ricardo Flores,27,M,Pucallpa,Selva,B,Profesional,"S/ 4,000 - S/ 10,000",Superior completa,Soltero,0,2025-07-10T13:06:50.188366
260,Mónica López,40,F,Callao,Lima,E,Desempleado,"Menos de S/ 1,000",Secundaria incompleta,Casado,2,2025-07-10T13:06:50.263369
197,Jorge Pérez,32,M,Lima,Lima,D,Obrero,"S/ 1,000 - S/ 2,000",Secundaria completa,Casado,2,2025-07-10T13:06:50.256759
111,Patricia Rodríguez,39,F,Lima,Lima,C,Obrero Calificado,"S/ 2,000 - S/ 4,000",Técnica completa,Casado,0,2025-07-10T13:06:50.206193
290,Ana González,25,F,Tarapoto,Selva,E,Desempleado,"Menos de S/ 1,000",Sin educación formal,Soltero,0,2025-07-10T13:06:50.266850
204,Patricia Ramírez,46,F,Lima,Lima,D,Empleado Básico,"S/ 1,000 - S/ 2,000",Técnica incompleta,Viudo,0,2025-07-10T13:06:50.257528
64,Manuel Flores,28,M,Lima,Lima,C,Comerciante,"S/ 2,000 - S/ 4,000",Superior incompleta,Soltero,0,2025-07-10T13:06:50.200225
164,Miguel Sánchez,79,M,Cajamarca,Sierra,C,Jubilado,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,3,2025-07-10T13:06:50.245496
275,Teresa Ramírez,27,F,Arequipa,Sierra,E,Trabajador Eventual,"Menos de S/ 1,000",Sin educación formal,Casado,1,2025-07-10T13:06:50.265027
31,Roberto Torres,57,M,Pucallpa,Selva,B,Empleado Calificado,"S/ 4,000 - S/ 10,000",Técnica completa,Soltero,3,2025-07-10T13:06:50.191368
134,Rosa López,44,F,Trujillo,Costa,C,Obrero Calificado,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,0,2025-07-10T13:06:50.209350
132,Carmen Pérez,32,F,Chiclayo,Costa,C,Comerciante,"S/ 2,000 - S/ 4,000",Secundaria completa,Soltero,0,2025-07-10T13:06:50.209149
53,Carmen Rodríguez,34,F,Callao,Lima,C,Empleado,"S/ 2,000 - S/ 4,000",Superior incompleta,Casado,1,2025-07-10T13:06:50.197559
242,Mónica González,26,F,Pucallpa,Selva,D,Trabajador Independiente,"S/ 1,000 - S/ 2,000",Técnica incompleta,Soltero,1,2025-07-10T13:06:50.261462
272,Jorge Pérez,47,M,Piura,Costa,E,Desempleado,"Menos de S/ 1,000",Sin educación formal,Divorciado,0,2025-07-10T13:06:50.264815
207,María García,59,F,Callao,Lima,D,Trabajador Independiente,"S/ 1,000 - S/ 2,000",Técnica incompleta,Soltero,0,2025-07-10T13:06:50.257827
