id,nombre,edad,genero,ciudad,region,nse,ocupacion,ingresos,educacion,estado_civil,hijos,created_at
235,Manuel Rodríguez,56,M,Arequipa,Sierra,D,Obrero,"S/ 1,000 - S/ 2,000",Secundaria incompleta,Casado,1,2025-07-10T00:42:51.181920
84,Ana López,28,F,Callao,Lima,C,Comerciante,"S/ 2,000 - S/ 4,000",Secundaria completa,Conviviente,2,2025-07-10T00:42:51.164730
29,Patricia Rodríguez,54,F,Pucallpa,Selva,B,Profesional,"S/ 4,000 - S/ 10,000",Superior completa,Viudo,2,2025-07-10T00:42:51.146971
215,Patricia Rodríguez,40,F,Ica,Costa,D,Obrero,"S/ 1,000 - S/ 2,000",Secundaria completa,Casado,4,2025-07-10T00:42:51.179564
63,María Flores,32,F,Callao,Lima,C,Empleado,"S/ 2,000 - S/ 4,000",Técnica completa,Conviviente,0,2025-07-10T00:42:51.160062
201,María González,39,F,Callao,Lima,D,Comerciante Menor,"S/ 1,000 - S/ 2,000",Técnica incompleta,Casado,2,2025-07-10T00:42:51.177767
260,Lucía Ramírez,35,F,Lima,Lima,E,Desempleado,"Menos de S/ 1,000",Primaria completa,Casado,3,2025-07-10T00:42:51.186707
106,Carlos Martínez,26,M,Callao,Lima,C,Empleado,"S/ 2,000 - S/ 4,000",Secundaria completa,Soltero,1,2025-07-10T00:42:51.167271
55,Rosa Flores,34,F,Lima,Lima,C,Técnico,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,2,2025-07-10T00:42:51.158175
199,Mónica Flores,43,F,Callao,Lima,D,Obrero,"S/ 1,000 - S/ 2,000",Secundaria completa,Divorciado,2,2025-07-10T00:42:51.177506
278,Manuel Rodríguez,35,M,Cusco,Sierra,E,Trabajo Doméstico,"Menos de S/ 1,000",Secundaria incompleta,Soltero,0,2025-07-10T00:42:51.189263
165,Roberto Torres,73,M,Ayacucho,Sierra,C,Jubilado,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,2,2025-07-10T00:42:51.173542
197,Patricia Flores,26,F,Lima,Lima,D,Empleado Básico,"S/ 1,000 - S/ 2,000",Secundaria completa,Casado,1,2025-07-10T00:42:51.177233
2,Jorge Sánchez,20,M,Lima,Lima,B,Estudiante/Trabajador Joven,"S/ 4,000 - S/ 10,000",Estudiando,Conviviente,0,2025-07-10T00:42:51.143390
60,Miguel Rodríguez,26,M,Callao,Lima,C,Empleado,"S/ 2,000 - S/ 4,000",Secundaria completa,Soltero,1,2025-07-10T00:42:51.159428
145,Miguel Pérez,26,M,Cajamarca,Sierra,C,Empleado,"S/ 2,000 - S/ 4,000",Superior incompleta,Casado,0,2025-07-10T00:42:51.170585
208,Carmen Ramírez,57,F,Lima,Lima,D,Empleado Básico,"S/ 1,000 - S/ 2,000",Secundaria completa,Casado,1,2025-07-10T00:42:51.178982
73,Mónica Martínez,33,F,Lima,Lima,C,Técnico,"S/ 2,000 - S/ 4,000",Secundaria completa,Casado,0,2025-07-10T00:42:51.162941
28,Miguel García,36,M,Tarapoto,Selva,B,Comerciante,"S/ 4,000 - S/ 10,000",Superior completa,Divorciado,1,2025-07-10T00:42:51.146653
231,Manuel Rodríguez,48,M,Ayacucho,Sierra,D,Empleado Básico,"S/ 1,000 - S/ 2,000",Secundaria incompleta,Casado,0,2025-07-10T00:42:51.181574
91,Sandra Ramírez,32,F,Lima,Lima,C,Técnico,"S/ 2,000 - S/ 4,000",Secundaria completa,Soltero,1,2025-07-10T00:42:51.165462
204,Carlos Sánchez,48,M,Callao,Lima,D,Empleado Básico,"S/ 1,000 - S/ 2,000",Secundaria incompleta,Casado,3,2025-07-10T00:42:51.178138
30,Miguel García,49,M,Puerto Maldonado,Selva,B,Profesional,"S/ 4,000 - S/ 10,000",Técnica completa,Casado,0,2025-07-10T00:42:51.147842
62,José García,28,M,Callao,Lima,C,Obrero Calificado,"S/ 2,000 - S/ 4,000",Secundaria completa,Soltero,1,2025-07-10T00:42:51.159862
230,Sandra Pérez,45,F,Cusco,Sierra,D,Trabajador Independiente,"S/ 1,000 - S/ 2,000",Técnica incompleta,Casado,1,2025-07-10T00:42:51.181480
